LocationID,GymChain,GymName,Address,CountyName,Latitude,Longitude,Rating,ReviewCount
ChIJg9UmV8zF5YgRiscrPKpLnBs,Planet Fitness,Planet Fitness,"700 Blanding Blvd, Orange Park, FL 32065",Clay County,30.1488713,-81.7583811,4.4,150
ChIJp_U8pOse24gRT4DOH3HsvBA,LA Fitness,LA Fitness,"871 Vanderbilt Beach Rd, Naples, FL 34108",Collier County,26.2521939,-81.8039622,4.3,966
ChIJJTb8eS8c24gREKAczr5iIn0,Orangetheory Fitness,Orangetheory Fitness,"7935 Airport-Pulling Rd #1, Naples, FL 34109",Collier County,26.2408544,-81.7707213,4.7,265
ChIJ0-QXWNHj2ogRphscLcCINqQ,Planet Fitness,Planet Fitness,"3725 Tamiami Trl E, Naples, FL 34112",Collier County,26.121821,-81.75897,4.1,584
ChIJ_SjuZvrl2ogRWdb5dije0Bs,Planet Fitness,Planet Fitness,"12725 Tamiami Trl E #128, Naples, FL 34113",Collier County,26.0672704,-81.6993472,3.7,592
ChIJz-AmV-Md24gRH_XYVf0oBLE,Planet Fitness,Planet Fitness,"4955 Golden Gate Pkwy, Naples, FL 34116",Collier County,26.182,-81.71014,4.1,553
ChIJS9N0Oz0e24gRFdn0aafyVYY,YouFit,Youfit Health Clubs,"4133 Tamiami Trl N, Naples, FL 34103",Collier County,26.1998231,-81.8014332,2.8,4
ChIJrR-JHkYk74gRcuJu5Amb3e0,Planet Fitness,Planet Fitness,"2782 W US Hwy 90, Lake City, FL 32055",Columbia County,30.1783669,-82.6780777,4.4,915
ChIJ806rjwmX3IgRSAtneD072NE,Planet Fitness,Planet Fitness,"2231 SE Hwy 70, Arcadia, FL 34266",DeSoto County,27.2081049,-81.8375204,4.6,156
ChIJ-0_T3FXJ5YgRhkJ9s2Ftj0k,LA Fitness,LA Fitness,"11250 Old St Augustine Rd Ste 16, Jacksonville, FL 32257",Duval County,30.172026,-81.60623,4.1,451
ChIJE15VNEBL5IgRqaZP0xIL6HQ,LA Fitness,LA Fitness,"11901 Atlantic Blvd Ste 800, Jacksonville, FL 32225",Duval County,30.3222832,-81.4913712,4.0,748
ChIJgx18wUVJ5IgRM-fbgTdwV60,LA Fitness,LA Fitness,"985 Atlantic Blvd, Atlantic Beach, FL 32233",Duval County,30.325935,-81.4115859,4.1,420
ChIJ2Snpvs9J5IgRg7weDQscvAM,Orangetheory Fitness,Orangetheory Fitness,"3994 3rd St S Ste 9, Jacksonville Beach, FL 32250",Duval County,30.2578887,-81.3933015,4.9,336
ChIJ51Ut6E9K5IgRRb_eM3c0FQ8,Orangetheory Fitness,Orangetheory Fitness,"13500 Beach Blvd #30, Jacksonville, FL 32224",Duval County,30.2849897,-81.4599885,4.9,231
ChIJSff_FaC35YgRb5PXc-dBfmg,Orangetheory Fitness,Orangetheory Fitness,"2039 Hendricks Ave Unit 215, Jacksonville, FL 32207",Duval County,30.3049839,-81.6522542,4.4,21
ChIJW3_xbZzB5YgRS8TaF-MjLGE,Orangetheory Fitness,Orangetheory Fitness,"9610 Applecross Rd #102, Jacksonville, FL 32222",Duval County,30.1964625,-81.8271576,4.9,190
ChIJi-Gb7zXJ5YgRhf_RFmu0M3I,Orangetheory Fitness,Orangetheory Fitness,"11111 San Jose Blvd, Jacksonville, FL 32223",Duval County,30.1743196,-81.6255197,4.7,160
ChIJkQU3im645YgRmFKRTqLTyis,Orangetheory Fitness,Orangetheory Fitness,"4495 Roosevelt Blvd #318, Jacksonville, FL 32210",Duval County,30.2799634,-81.719261,4.9,251
ChIJ41qGQeSz5YgRw-OhimcX3oM,Planet Fitness,Planet Fitness,"6060 Fort Caroline Rd, Jacksonville, FL 32277",Duval County,30.3651432,-81.5958334,4.4,633
ChIJ9QSOyia55YgRJnTP5QRQWF4,Planet Fitness,Planet Fitness,"5810 Normandy Blvd, Jacksonville, FL 32205",Duval County,30.3052742,-81.7487112,4.3,1248
ChIJGR8Mb7bM5YgR69QT8zNphRo,Planet Fitness,Planet Fitness,"14858 Old St Augustine Rd, Jacksonville, FL 32258",Duval County,30.1398051,-81.5227922,4.4,1151
ChIJP4sFDDW15YgRsBZDiG7TPzE,Planet Fitness,Planet fitness (Commerce Center),"651 Commerce Center Dr Unit 300, Jacksonville, FL 32225",Duval County,30.3344825,-81.5499892,4.4,902
ChIJQftyzHOx5YgR8wYBn9DZXUM,Planet Fitness,Planet Fitness,"1102 Dunn Ave #1, Jacksonville, FL 32218",Duval County,30.428576,-81.6643172,3.9,258
ChIJWfAc5CC55YgRd60DwsaioYw,Planet Fitness,Planet Fitness,"3566 Blanding Blvd #3, Jacksonville, FL 32210",Duval County,30.2711194,-81.7380209,4.5,331
