Rank,CountyName,MembershipPrice,CountyPopulation,LAFitnessLocations,CompetitorLocations,MedianHouseholdIncome,PopulationDensity,AvgGymRating,PredictedMembershipPrice,CompetitionPer100k,LAFitnessPer100k,DemandComponent,PurchasingPowerComponent,LowCompetitionComponent,PricingComponent,WhitespaceComponent,MarketPotentialScore
29,Martin County,64.0,158431,1,3,69769,291.329,4.6,57.505998944544615,1.8935688091345761,0.6311896030448587,0.513104590889556,0.6247978542973218,0.6597635563746993,0.9374999999999999,0.786885142427934,66.13970663589306
30,Hernando County,72.54,194515,0,2,53301,411.266,4.3,58.67654118474867,1.0281983394596819,0.0,0.5483280439991074,0.3000236658383623,0.8152533223658844,1.0,1.0,65.25549941324996
31,Charlotte County,14.08,186847,0,3,57887,274.324,4.433,58.67654118474867,1.6055917408360851,0.0,0.5414239146749779,0.3904666114463772,0.7115072760065722,1.0,1.0,65.23452824654021
32,Flagler County,63.32,115378,0,2,62305,237.305,4.1,58.67654118474867,1.7334327168090968,0.0,0.45866955828340916,0.4775963396836666,0.6885368094437415,1.0,1.0,64.47073142946877
33,Alachua County,69.0,278468,0,5,53314,318.018,4.28,58.67654118474867,1.7955384460692072,0.0,0.6099195913665648,0.3002800457539542,0.6773776520102849,1.0,1.0,64.3521419250515
34,Baker County,59.62,28259,0,0,63860,48.287,4.4,58.67654118474867,0.0,0.0,0.2171776335759747,0.5082633218948448,1.0,1.0,1.0,64.22191205465036
35,Bay County,69.0,175216,0,4,60473,230.96,4.35,58.67654118474867,2.282896539128847,0.0,0.5303910589151847,0.44146649311718533,0.5898091498493288,1.0,1.0,63.74457709237175
36,Broward County,40.93,1944375,13,45,64522,1616.633,4.318,43.45949206209596,2.3143683702989395,0.6685953069752492,0.9435286686058462,0.5213189760580602,0.5841542912246867,0.18749999999999967,0.7742554805528769,63.57697508964939
37,Miami-Dade County,42.89,2701767,16,43,57815,1422.054,4.275,39.947865341483805,1.5915510108754751,0.5922050273025024,1.0,0.3890466611446377,0.7140301143658947,0.0,0.8000478945815831,62.00724776174966
38,Leon County,41.54,292198,0,9,57359,437.141,4.389,58.67654118474867,3.0801032176811614,0.0,0.61818146994659,0.3800536425669546,0.446567053847049,1.0,1.0,61.97812623951254
39,Wakulla County,51.59,33764,1,0,72941,55.678,5.0,57.505998944544615,0.0,2.961734391659756,0.2477298554430118,0.6873545537017316,1.0,0.9374999999999999,0.0,58.678259505833644
40,Citrus County,72.28,153843,0,3,48664,264.372,4.4,58.67654118474867,1.9500399758195042,0.0,0.5080600223782898,0.2085749220999487,0.6496168171447515,1.0,1.0,58.44851006674244
41,Suwannee County,63.8,43474,0,0,47218,63.135,4.4,58.67654118474867,0.0,0.0,0.29111974567226556,0.18005758687334833,1.0,1.0,1.0,58.23503204200168
42,Okeechobee County,59.55,39644,0,0,47020,51.542,4.4,58.67654118474867,0.0,0.0,0.2752887272003772,0.17615272354356487,1.0,1.0,1.0,57.66247990460044
43,Union County,60.53,16147,0,0,55463,66.297,4.4,58.67654118474867,0.0,0.0,0.12110595137715384,0.3426616179544827,1.0,1.0,1.0,57.199718990176684
44,Bradford County,59.47,28303,0,0,48803,96.28,4.4,58.67654118474867,0.0,0.0,0.21744470081829032,0.21131621504358458,1.0,1.0,1.0,56.80624640063833
45,Levy County,69.0,42915,0,0,43029,38.378,4.4,58.67654118474867,0.0,0.0,0.2888981892924224,0.09744408945686901,1.0,1.0,1.0,56.103047915194395
46,Gadsden County,51.06,43826,0,0,42661,84.872,4.4,58.67654118474867,0.0,0.0,0.2925040411348259,0.09018656569242299,1.0,1.0,1.0,56.029785376355356
47,Columbia County,63.48,69698,0,1,47750,87.39,4.4,58.67654118474867,1.4347613991793164,0.0,0.37214490466011807,0.1905494418806453,0.7422020717954605,1.0,1.0,55.77212462272888
48,Gulf County,62.97,14192,0,0,53812,25.643,4.4,58.67654118474867,0.0,0.0,0.09895323650362073,0.31010136867431864,1.0,1.0,1.0,55.72113131196659
49,Gilchrist County,65.06,17864,0,0,50983,51.085,4.4,58.67654118474867,0.0,0.0,0.13845208309766735,0.2543091547351398,1.0,1.0,1.0,55.511291361308515
50,Jefferson County,49.74,14510,0,0,53080,24.261,4.4,58.67654118474867,0.0,0.0,0.10275697313356279,0.295665207273301,1.0,1.0,1.0,55.474339375839406
51,Highlands County,34.03,101235,0,2,46895,99.478,4.35,58.67654118474867,1.9756013236528869,0.0,0.436221475872849,0.17368753204748946,0.6450239541660493,1.0,1.0,55.32931166069369
52,Franklin County,58.68,12451,0,0,52679,22.847,4.4,58.67654118474867,0.0,0.0,0.07648803996581213,0.2877568729538911,1.0,1.0,1.0,54.48856302282164
53,Lafayette County,55.95,8226,0,0,56458,15.14,4.4,58.67654118474867,0.0,0.0,0.005340413794087129,0.362284542263243,1.0,1.0,1.0,54.217325970403685
54,Hendry County,50.49,39619,0,0,38843,34.274,4.4,58.67654118474867,0.0,0.0,0.2751804426417597,0.014889756636295508,1.0,1.0,1.0,53.62765719516018
55,Taylor County,52.3,21796,0,0,43563,20.891,4.4,58.67654118474867,0.0,0.0,0.17260090746700435,0.10797538752810318,1.0,1.0,1.0,52.877411912212715
56,Washington County,63.63,25318,0,0,41806,43.303,4.4,58.67654118474867,0.0,0.0,0.19831314042814782,0.07332465585926715,1.0,1.0,1.0,52.78251060932612
57,Hardee County,48.58,25327,0,0,41395,39.724,4.4,58.67654118474867,0.0,0.0,0.19837414982898194,0.06521910622017119,1.0,1.0,1.0,52.58170215037373
58,Putnam County,63.16,73321,0,1,39975,100.665,4.6,58.67654118474867,1.3638657410564503,0.0,0.3808439064010732,0.03721453082475447,0.754940603646977,1.0,1.0,52.45449253559059
59,Dixie County,64.61,16759,0,0,44287,23.77,4.4,58.67654118474867,0.0,0.0,0.12749164357397128,0.12225377667337199,1.0,1.0,1.0,51.88109372405344
60,Holmes County,69.0,19653,0,0,41809,41.041,4.4,58.67654118474867,0.0,0.0,0.15483519971760837,0.07338382045517296,1.0,1.0,1.0,51.47965150290757
61,Jackson County,59.78,47319,0,1,43416,51.535,4.5,58.67654118474867,2.1133160041420993,0.0,0.30566770911034136,0.1050763223287185,0.6202793803757476,1.0,1.0,49.20252693904315
62,Hamilton County,63.71,14004,0,0,39346,27.23,4.4,58.67654118474867,0.0,0.0,0.09666419351113748,0.02480968721650298,1.0,1.0,1.0,48.520167985746696
63,Calhoun County,61.78,13648,0,0,38098,24.056,4.4,58.67654118474867,0.0,0.0,0.0922441758605161,0.00019721531968603322,1.0,1.0,1.0,47.77225565880764
64,Glades County,40.94,12126,0,0,38088,15.029,4.4,58.67654118474867,0.0,0.0,0.07194807569117112,0.0,1.0,1.0,1.0,47.15844227073514
65,Liberty County,57.04,7974,0,0,42438,9.543,4.4,58.67654118474867,0.0,0.0,0.0,0.08578866406342445,1.0,1.0,1.0,47.144716601585614
66,DeSoto County,33.8,33976,0,1,39945,53.363,4.6,58.67654118474867,2.943254061690605,0.0,0.24880430798020325,0.03662288486569637,0.47115611019543213,1.0,1.0,42.80282356495715
67,Madison County,51.66,17968,0,1,39503,25.796,4.8,58.67654118474867,5.565449688334818,0.0,0.1394485141215747,0.0279059677355737,0.0,1.0,1.0,29.88110461703658
